F-SX6              340.000      1.618  0  high # 36 bonds, QM avg=1.618, rms=0.018
CA-SX6             340.000      1.787  0  high # 1 bonds, QM avg=1.809, rms=0.000
CM-SX6             340.000      1.792  0  high # 1 bonds, QM avg=1.800, rms=0.000
CT-SX6             340.000      1.825  0  high # 1 bonds, QM avg=1.840, rms=0.000
NI-SX6             340.000      1.666  0  high # 2 bonds, QM avg=1.689, rms=0.042
N-SX6              340.000      1.699  0  high # 1 bonds, QM avg=1.693, rms=0.000
#
Cl-B               340.000      1.785  0  med # educated guess
OS-B               340.000      1.366  0  med # educated guess
OS-BT              340.000      1.481  0  med # educated guess
CA-BT              340.000      1.618  0  med # educated guess
H-BT               340.000      1.073  0  med # educated guess
NP-B               340.000      1.546  0  med # educated guess
N-BT               340.000      1.565  0  med # educated guess
O-BT               340.000      1.520  0  med # educated guess
Br-BT              340.000      2.013  0  med # educated guess
CM-B               340.000      1.579  0  med # educated guess
CT-B               340.000      1.571  0  med # educated guess
S-BT               340.000      1.933  0  med # educated guess
CZ-BT              340.000      1.588  0  med # educated guess
NP-BT              340.000      1.636  0  med # educated guess
OWS-BT             340.000      1.562  0  med # educated guess
NI-BT              340.000      1.535  0  med # educated guess
NT-B               340.000      1.411  0  med # educated guess
NT-BT              340.000      1.535  0  med # educated guess
NIP-BT             340.000      1.599  0  med # educated guess
CT-BT              340.000      1.616  0  med # educated guess
BT-B               340.000      1.674  0  med # educated guess
P2-BT              340.000      1.957  0  med # educated guess
CA-B               340.000      1.565  0  med # educated guess
C-BT               340.000      1.604  0  med # educated guess
Cl-BT              340.000      1.858  0  med # educated guess
N4-BT              340.000      1.527  0  med # educated guess
NB-BT              340.000      1.571  0  med # educated guess
BT-BT              340.000      1.762  0  med # educated guess
Se-BT              340.000      2.088  0  med # educated guess
F-BT               340.000      1.372  0  med # educated guess
I-BT               340.000      2.243  0  med # educated guess
CM-BT              340.000      1.617  0  med # educated guess
NB-B               340.000      1.498  0  med # educated guess
#
CO4-HC        340.000    1.090  0  high # opls core
CT-OS         320.000    1.410  0  high # opls core
CT1-CTP       268.000    1.529  0  high # opls core
HO-OH         553.000    0.945  0  high # opls core
CQ-NB         502.000    1.324  0  high # opls core
CRAB-N*       440.000    1.371  0  high # opls core
CTT-HC        340.000    1.090  0  high # opls core
CNA-HC        367.000    1.080  0  high # opls core
CRA-NA5B      488.000    1.335  0  high # opls core
CTJ-HC        340.000    1.090  0  high # opls core
CM-HC         340.000    1.080  0  high # opls core
C3M-HC        340.000    1.076  0  high # opls core
CRAB-NNA      529.000    1.304  0  high # opls core
CD-NY         382.000    1.385  0  high # opls core
H-NG          434.000    1.010  0  high # opls core
CM-Cl         300.000    1.725  0  high # opls core
CT-CTQ        268.000    1.529  0  high # opls core
CO-OS         320.000    1.380  0  high # opls core
CT-CT         268.000    1.529  0  high # opls core
H-N4T         434.000    1.010  0  high # opls core
CA-NB         483.000    1.339  0  high # opls core
CM-CM         549.000    1.340  0  high # opls core
CRA-NA        477.000    1.343  0  high # opls core
C56A-NA       428.000    1.380  0  high # opls core
C-CT          317.000    1.522  0  high # opls core
CDS-CT        285.000    1.501  0  high # dft/6-31g* empfc
CT-CTG        268.000    1.529  0  high # opls core
CA-NO2        400.000    1.460  0  high # opls core
C5A-C5B       520.000    1.370  0  high # opls core
C56B-CA       469.000    1.404  0  high # opls core
C5X-CTC       317.000    1.504  0  high # opls core
CA-CZ         400.000    1.451  0  high # opls core
C5M-CTH       317.000    1.495  0  high # opls core
H-NND         434.000    1.010  0  high # opls core
CTS-HC        340.000    1.090  0  high # opls core
CTI-HC        340.000    1.090  0  high # opls core
CT1-CTF       268.000    1.529  0  high # opls core
C4T-HC        340.000    1.090  0  high # opls core
CT-CTA        268.000    1.529  0  high # opls core
H-NB          434.000    1.010  0  high # opls core
CT1-CTS       268.000    1.529  0  high # opls core
HS-SH         274.000    1.336  0  high # opls core
H-N3T         434.000    1.010  0  high # opls core
CT-CTF        268.000    1.529  0  high # opls core
C56A-CA       469.000    1.400  0  high # opls core
C-N           490.000    1.335  0  high # opls core
CDS-N         575.000    1.347  0  high # dft/6-31g* empfc
CRA-N5B       488.000    1.335  0  high # opls core
C5X-NB        427.000    1.381  0  high # opls core
CZ-NZ         650.000    1.157  0  high # opls core
CDX-CM        427.000    1.433  0  high # opls core
C-NNB         418.000    1.388  0  high # opls core
C5A-CTC       317.000    1.504  0  high # opls core
CTH-HC        340.000    1.090  0  high # opls core
CT1-CTN       268.000    1.529  0  high # opls core
CO4-O         570.000    1.229  0  high # opls core
CT-NT         382.000    1.448  0  high # opls core
NB-NB         500.000    1.320  0  high # opls core
C-OC3         570.000    1.229  0  high # opls core
C-CT1         317.000    1.522  0  high # opls core
CA-NND        481.000    1.340  0  high # opls core
C-N*          418.000    1.388  0  high # opls core
CA-Cl         300.000    1.725  0  high # opls core
CT-CTE        268.000    1.529  0  high # opls core
CO4-CT        317.000    1.522  0  high # opls core
C5M-C5N       546.000    1.352  0  high # opls core
CDX-NNC       483.000    1.339  0  high # opls core
C5A-OA        340.000    1.360  0  high # opls core
C5A-C5BD      546.000    1.367  0  high # opls core
CT-CT1        268.000    1.529  0  high # opls core
CTQ-HC        340.000    1.090  0  high # opls core
CT-HC         340.000    1.090  0  high # opls core
CTG-HC        340.000    1.090  0  high # opls core
C5X-C5X       520.000    1.370  0  high # opls core
CR-NB         477.000    1.343  0  high # opls core
CT-Cl         245.000    1.781  0  high # opls core
N5A-OA        462.000    1.399  0  high # opls core
CNA-NNE       448.000    1.365  0  high # opls core
CM-CT         317.000    1.510  0  high # opls core
C5B-N5B       410.000    1.394  0  high # opls core
CT1-CTD       268.000    1.529  0  high # opls core
CT3-HC        340.000    1.090  0  high # opls core
C-CM          410.000    1.444  0  high # opls core
CT-CTN        268.000    1.529  0  high # opls core
CN-NNC        461.000    1.354  0  high # opls core
CP1-N         337.000    1.449  0  high # opls core
H-NNE         434.000    1.010  0  high # opls core
CT-CTD        268.000    1.529  0  high # opls core
CT-OH2        320.000    1.410  0  high # opls core
CT-CZ         390.000    1.470  0  high # opls core
H-NA          434.000    1.010  0  high # opls core
CT1-CTQ       268.000    1.529  0  high # opls core
C5X-NA5       427.000    1.381  0  high # opls core
CTS-OH        320.000    1.410  0  high # opls core
OZ-SZ         700.000    1.530  0  high # opls core
NB-H          434.000    1.010  0  high # opls core
CTP-HC        340.000    1.090  0  high # opls core
C5N-NA        427.000    1.381  0  high # opls core
CT-NY         382.000    1.448  0  high # opls core
CTF-HC        340.000    1.090  0  high # opls core
CT1-N         337.000    1.449  0  high # opls core
S-S           166.000    2.038  0  high # opls core
C-NNE         418.000    1.388  0  high # opls core
CT-S          222.000    1.810  0  high # opls core
